,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
TAPANULI UTARA,-,0,0,0,0,0,0,-,0.055,0.061,0.048,0.075,0.077,0.088,0.075,0.094,2.349,2.184,2.157,2.109,2.112,2.018,1.997,2.117,0.004,0.002,0.005,0.007,0.012,0.012,0.007,0.011,0.055,0.055,0.063,0.054,0.06,0.059,0.045
TOBA SAMOSIR,-,0.001,0.001,0.001,-,-,-,0,0.068,0.063,0.062,0.072,0.073,0.089,0.072,0.062,1.944,1.867,1.837,1.934,1.885,2.077,1.956,1.931,0.006,0.038,0.01,0.015,0.01,0.018,0.011,0.018,0.059,0.095,0.085,0.093,0.092,0.092,0.087
LABUHANBATU,0.001,0,0,0,-,0,0,-,0.071,0.09,0.085,0.062,0.104,0.085,0.083,0.062,1.771,1.659,1.683,1.648,1.796,1.725,1.771,1.715,0.02,0.011,0.021,0.009,0.006,0.025,0.014,0.032,0.072,0.068,0.061,0.077,0.079,0.094,0.1
ASAHAN,0,0,0.002,0,0,-,0,0,0.084,0.101,0.065,0.086,0.082,0.076,0.069,0.068,1.559,1.488,1.554,1.558,1.507,1.486,1.467,1.516,0.018,0.03,0.024,0.016,0.019,0.021,0.016,0.038,0.071,0.074,0.067,0.073,0.079,0.057,0.063
SIMALUNGUN,-,0,0.001,0,0,-,0,0,0.078,0.106,0.079,0.094,0.102,0.096,0.079,0.081,1.628,1.616,1.567,1.687,1.658,1.651,1.581,1.624,0.009,0.016,0.012,0.024,0.021,0.033,0.027,0.037,0.077,0.082,0.077,0.081,0.077,0.07,0.071
DAIRI,0,0,0.001,0,0.002,-,-,-,0.082,0.092,0.069,0.066,0.072,0.07,0.069,0.064,2.285,2.201,2.046,2.133,2.039,1.989,1.951,1.951,0.002,0.002,0.004,0.003,0.003,0.005,0.009,0.012,0.065,0.067,0.074,0.068,0.054,0.062,0.074
KARO,0.001,0,0,0.001,0,-,-,-,0.135,0.112,0.132,0.138,0.167,0.151,0.114,0.088,2.176,2.106,2.014,2.165,1.992,2.056,1.998,1.998,0.004,0.01,0.024,0.019,0.004,0.019,0.01,0.017,0.046,0.054,0.058,0.076,0.083,0.059,0.083
DELI SERDANG,0.001,0.001,0,0,0.002,0,-,0,0.119,0.141,0.116,0.121,0.143,0.112,0.105,0.101,1.556,1.503,1.468,1.562,1.631,1.553,1.528,1.504,0.018,0.027,0.032,0.032,0.02,0.026,0.018,0.042,0.08,0.119,0.099,0.094,0.108,0.114,0.091
LANGKAT,-,0,0.001,0.002,0,0.001,0,0,0.073,0.098,0.068,0.094,0.117,0.109,0.08,0.071,1.572,1.495,1.515,1.618,1.585,1.55,1.554,1.577,0.01,0.013,0.016,0.03,0.024,0.016,0.016,0.012,0.053,0.058,0.061,0.056,0.055,0.051,0.058
NIAS SELATAN,0.001,0.005,0.003,0,-,0.001,0,0.001,0.008,0.012,0.006,0.012,0.007,0.008,0.015,0.005,2.247,2.253,2.196,2.476,2.574,2.473,2.331,2.019,-,0,0.002,0.002,-,-,0,0.007,0.012,0.023,0.027,0.035,0.016,0.03,0.033
HUMBANG HASUNDUTAN,0,0,0,-,0,-,0,0,0.061,0.049,0.049,0.073,0.058,0.071,0.057,0.06,2.493,2.373,2.33,2.258,2.269,2.304,2.161,2.163,0.002,0.007,0.002,0.005,0.005,0.004,0.011,0.005,0.047,0.05,0.053,0.054,0.064,0.049,0.065
PAKPAK BHARAT,-,0,0,-,-,0.001,-,-,0.074,0.098,0.089,0.076,0.08,0.067,0.069,0.057,2.353,2.205,2.149,2.099,2.078,2.108,2.046,1.776,0.002,0.016,0.012,0.006,0.007,0.009,0.006,0.01,0.072,0.081,0.075,0.086,0.087,0.071,0.066
SAMOSIR,0.001,0.001,0,0.001,0.002,0.001,0.001,-,0.052,0.079,0.056,0.067,0.069,0.076,0.081,0.086,2.253,2.086,1.969,2.113,2.008,2.213,2.082,2.189,0.005,0.008,0.032,0.008,0.006,0.006,0.012,0.031,0.047,0.07,0.052,0.089,0.056,0.041,0.049
SERDANG BEDAGAI,-,0,0,0.001,0,0.001,0,-,0.063,0.08,0.064,0.084,0.088,0.075,0.062,0.066,1.522,1.501,1.468,1.628,1.559,1.672,1.532,1.544,0.01,0.021,0.013,0.01,0.018,0.016,0.011,0.017,0.065,0.062,0.064,0.092,0.078,0.066,0.074
BATU BARA,-,0,0,-,0,-,-,-,0.05,0.065,0.055,0.062,0.089,0.06,0.053,0.054,1.655,1.53,1.578,1.596,1.539,1.501,1.495,1.527,0.01,0.018,0.03,0.02,0.021,0.014,0.022,0.028,0.051,0.067,0.07,0.065,0.069,0.047,0.06
PADANG LAWAS UTARA,-,0,0,0,-,0,0,-,0.129,0.16,0.135,0.14,0.155,0.136,0.133,0.155,2.586,2.497,2.468,2.52,2.371,2.41,2.169,2.1,0.016,0.012,0.001,0.001,0.004,0.002,0.01,0.006,0.081,0.075,0.055,0.075,0.073,0.07,0.062
PADANG LAWAS,0,0,0,-,0.001,-,-,-,0.135,0.156,0.135,0.145,0.18,0.147,0.145,0.136,2.219,2.054,2.065,2.084,2.102,2.012,2,1.861,0.001,0.005,0.009,0.011,0.01,0.014,0.006,0.006,0.07,0.053,0.049,0.056,0.075,0.054,0.052
LABUHANBATU SELATAN,0.001,0.001,0,0,-,0,0,-,0.111,0.116,0.094,0.112,0.119,0.101,0.097,0.1,1.877,1.727,1.803,1.817,1.753,1.715,1.78,1.686,0.016,0.01,0.003,0.012,0.009,0.003,0.003,0.01,0.091,0.098,0.087,0.072,0.073,0.065,0.052
LABUHANBATU UTARA,0.001,0,0.001,0.001,0,0,0.002,-,0.058,0.073,0.086,0.09,0.091,0.1,0.086,0.098,1.852,1.835,1.693,1.774,1.649,1.754,1.711,1.654,0.02,0.026,0.027,0.018,0.019,0.02,0.002,0.023,0.056,0.053,0.069,0.051,0.065,0.056,0.078
NIAS UTARA,-,0,0,0,-,0.001,0,0,0.004,0.002,0.004,0.012,0.01,0.01,0.01,0.01,2.234,2.423,2.266,2.366,2.538,2.538,2.368,2.141,-,0.002,0.001,0.002,0.006,0.014,0.004,0.01,0.028,0.026,0.029,0.032,0.046,0.058,0.03
NIAS BARAT,0,0,0,-,0,0,-,-,0.002,0.003,0.001,0.004,0.004,0.005,0.006,0.007,2.394,2.571,2.526,2.404,2.497,2.489,2.288,2.464,-,0.001,0.005,-,-,0.004,-,0.002,0.022,0.022,0.021,0.028,0.029,0.027,0.019
KOTA SIBOLGA,-,0,0,0.001,-,-,-,0,0.058,0.057,0.035,0.041,0.056,0.045,0.039,0.036,1.485,1.5,1.415,1.452,1.454,1.5,1.468,1.423,0.004,0.002,0.005,0.008,0.003,0.004,0.005,0.015,0.055,0.052,0.049,0.055,0.057,0.049,0.037
KOTA TANJUNG BALAI,-,0,0,0,0,0.001,0.001,0,0.057,0.056,0.062,0.06,0.104,0.084,0.106,0.082,1.695,1.576,1.587,1.512,1.511,1.585,1.457,1.789,0.016,0.012,0.013,0.013,0.022,0.03,0.029,0.021,0.084,0.069,0.068,0.069,0.1,0.063,0.063
KOTA PEMATANGSIANTAR,0,0,0,0,0,0,0,0,0.144,0.114,0.099,0.121,0.121,0.119,0.096,0.101,1.401,1.38,1.41,1.521,1.438,1.472,1.491,1.39,0.028,0.018,0.034,0.036,0.02,0.038,0.038,0.052,0.081,0.082,0.088,0.074,0.086,0.078,0.073
KOTA TEBING TINGGI,-,0.001,0,0.001,0.001,0,0,-,0.076,0.086,0.086,0.09,0.069,0.085,0.084,0.071,1.421,1.408,1.419,1.39,1.432,1.425,1.417,1.39,0.012,0.02,0.021,0.021,0.016,0.016,0.032,0.029,0.068,0.085,0.059,0.082,0.099,0.078,0.083
KOTA MEDAN,0.001,0,0,0,0.001,0,-,0,0.136,0.148,0.129,0.143,0.136,0.135,0.125,0.123,1.443,1.356,1.394,1.4,1.448,1.447,1.312,1.34,0.037,0.034,0.029,0.027,0.027,0.033,0.033,0.038,0.115,0.083,0.097,0.113,0.123,0.072,0.075
KOTA BINJAI,0,0.002,0.001,0.001,0.001,0.002,0.001,-,0.096,0.147,0.152,0.135,0.178,0.133,0.117,0.112,1.401,1.435,1.398,1.389,1.427,1.322,1.383,1.335,0.007,0.02,0.012,0.019,0.018,0.015,0.023,0.022,0.09,0.089,0.08,0.073,0.081,0.082,0.078
KOTA PADANG SIDIMPUAN,-,0,0,-,0.001,-,0,-,0.106,0.109,0.111,0.117,0.139,0.128,0.122,0.122,1.583,1.688,1.576,1.6,1.627,1.68,1.673,1.643,0.014,0.001,0.013,0.012,0.016,0.011,0.008,0.01,0.064,0.053,0.051,0.064,0.061,0.062,0.052
KOTA GUNUNGSITOLI,0,0,0,0,0,-,-,0,0.012,0.024,0.024,0.022,0.029,0.014,0.02,0.023,2.054,1.919,1.836,2.133,2.135,1.963,1.802,1.912,0.002,0.008,0.006,0.011,0.003,0.002,0.002,0.004,0.045,0.037,0.044,0.034,0.044,0.049,0.059
