,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kacang kedele,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,Kentang,"Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)","Beras (beras lokal, kualitas unggul, impor)",Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Jagung basah dengan kulit,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam,Bayam
nama_kab,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024,2025,2018,2019,2020,2021,2022,2023,2024
KOTA TANJUNGPINANG,0,0,0,0,0.001,-,-,0.001,0.069,0.057,0.05,0.082,0.07,0.075,0.081,0.08,1.151,1.058,1.142,1.169,1.004,1.125,1.117,1.104,0.01,0.014,0.012,0.019,0.009,0.026,0.025,0.032,0.107,0.089,0.086,0.101,0.106,0.091,0.084
KEPULAUAN SERIBU,-,0.002,0.001,0.001,0,-,-,-,0.014,0.034,0.025,0.026,0.05,0.028,0.023,0.015,1.797,1.626,1.669,1.589,1.676,1.674,1.58,1.595,0.002,0.015,0.007,0.006,0.005,0.007,0.01,0.009,0.054,0.049,0.036,0.033,0.044,0.029,0.036
JAKARTA SELATAN,0,0,0.002,0,0.001,0.001,0,0,0.104,0.095,0.095,0.095,0.117,0.107,0.108,0.114,1.294,1.175,1.212,1.345,1.341,1.326,1.261,1.271,0.041,0.037,0.045,0.037,0.034,0.037,0.046,0.063,0.11,0.062,0.027,0.025,0.072,0.069,0.07
JAKARTA TIMUR,0.001,0,0,0,-,0,0.001,0.001,0.102,0.106,0.097,0.106,0.121,0.115,0.098,0.083,1.314,1.301,1.28,1.387,1.403,1.331,1.25,1.334,0.029,0.034,0.043,0.039,0.036,0.023,0.028,0.022,0.094,0.081,0.059,0.065,0.071,0.075,0.07
JAKARTA PUSAT,0.001,0,0,0.001,0.001,0,0.001,-,0.066,0.08,0.098,0.108,0.122,0.072,0.064,0.081,1.166,1.2,1.237,1.325,1.351,1.263,1.21,1.166,0.017,0.022,0.051,0.032,0.012,0.017,0.019,0.017,0.057,0.094,0.077,0.073,0.079,0.078,0.069
JAKARTA BARAT,0,0.001,0.001,0.001,0,0.001,0.002,0.001,0.062,0.076,0.073,0.093,0.083,0.078,0.073,0.062,1.366,1.305,1.31,1.374,1.317,1.336,1.313,1.275,0.038,0.049,0.036,0.052,0.029,0.041,0.036,0.043,0.088,0.069,0.06,0.072,0.073,0.061,0.058
JAKARTA UTARA,0.001,0.001,0.002,0.001,0.001,0.001,0,0.001,0.074,0.092,0.074,0.088,0.091,0.107,0.087,0.086,1.307,1.31,1.264,1.385,1.38,1.349,1.301,1.274,0.025,0.046,0.044,0.038,0.024,0.028,0.023,0.034,0.078,0.08,0.055,0.056,0.065,0.053,0.06
BOGOR,0.001,0,0.002,0,0.001,-,0,0,0.045,0.059,0.051,0.056,0.064,0.048,0.052,0.061,1.548,1.514,1.521,1.566,1.613,1.55,1.494,1.467,0.016,0.016,0.018,0.011,0.018,0.017,0.023,0.029,0.076,0.076,0.056,0.054,0.067,0.05,0.053
SUKABUMI,0.002,0.002,0.001,0.001,0.002,0.001,0,0.001,0.032,0.033,0.036,0.039,0.053,0.057,0.033,0.038,1.966,1.796,1.986,1.978,1.938,1.886,1.851,1.735,0.026,0.075,0.124,0.033,0.035,0.059,0.072,0.076,0.043,0.103,0.08,0.074,0.079,0.065,0.046
CIANJUR,0.001,0.001,0.001,0.001,0,0,0.001,0,0.046,0.056,0.058,0.068,0.067,0.05,0.046,0.048,1.93,1.816,1.737,1.971,1.959,1.929,1.815,1.773,0.014,0.038,0.101,0.032,0.027,0.04,0.115,0.068,0.046,0.049,0.042,0.043,0.033,0.027,0.037
BANDUNG,0.001,0.001,0,0,0.001,0,0,0.001,0.091,0.122,0.093,0.088,0.101,0.09,0.062,0.086,1.558,1.513,1.474,1.517,1.465,1.44,1.399,1.409,0.019,0.027,0.024,0.017,0.015,0.023,0.042,0.03,0.038,0.04,0.037,0.043,0.037,0.034,0.032
GARUT,0.001,0.001,0.004,0,0.001,0,0,0,0.072,0.081,0.069,0.084,0.092,0.082,0.067,0.058,1.605,1.543,1.547,1.648,1.592,1.608,1.565,1.429,0.031,0.08,0.103,0.016,0.026,0.034,0.074,0.046,0.044,0.042,0.038,0.043,0.038,0.046,0.041
TASIKMALAYA,0,0.001,0,0.003,0.002,0,0,0,0.024,0.037,0.03,0.037,0.057,0.041,0.025,0.028,1.726,1.649,1.687,1.76,1.75,1.683,1.678,1.653,0.006,0.018,0.033,0.008,0.006,0.007,0.027,0.011,0.052,0.046,0.05,0.051,0.088,0.05,0.045
CIAMIS,0,0.001,0,0,0,0.003,0,0,0.051,0.063,0.068,0.065,0.103,0.073,0.076,0.054,1.828,1.735,1.705,1.814,1.883,1.786,1.704,1.654,0.013,0.036,0.059,0.013,0.019,0.034,0.042,0.023,0.064,0.052,0.059,0.058,0.085,0.062,0.056
KUNINGAN,0.001,0.001,0.002,0.002,0.002,0.001,0.001,0,0.034,0.046,0.044,0.05,0.06,0.063,0.044,0.045,1.487,1.483,1.458,1.494,1.411,1.446,1.435,1.476,0.008,0.018,0.045,0.015,0.021,0.019,0.03,0.016,0.045,0.065,0.048,0.053,0.057,0.062,0.043
CIREBON,0.001,0,0.001,0.001,0.001,0.001,0,0,0.019,0.029,0.032,0.024,0.045,0.035,0.035,0.025,1.397,1.416,1.367,1.437,1.418,1.481,1.382,1.366,0.005,0.019,0.034,0.017,0.011,0.014,0.018,0.019,0.074,0.058,0.064,0.06,0.072,0.04,0.039
MAJALENGKA,0.001,0.002,0,0,0.001,0.001,0.001,0,0.034,0.043,0.041,0.054,0.05,0.043,0.044,0.035,1.663,1.627,1.617,1.583,1.523,1.545,1.566,1.517,0.009,0.022,0.04,0.012,0.01,0.007,0.024,0.016,0.037,0.043,0.026,0.048,0.052,0.035,0.034
SUMEDANG,0,0.001,0,0,0,0,0,-,0.027,0.039,0.051,0.052,0.057,0.047,0.037,0.039,1.638,1.587,1.578,1.744,1.679,1.647,1.646,1.527,0.017,0.046,0.083,0.028,0.023,0.016,0.077,0.088,0.025,0.029,0.038,0.03,0.031,0.027,0.028
INDRAMAYU,0.002,0,0.003,0.001,0.001,0,0,0,0.013,0.016,0.024,0.023,0.015,0.025,0.021,0.026,1.688,1.624,1.667,1.582,1.572,1.573,1.657,1.642,0.009,0.035,0.044,0.011,0.009,0.019,0.013,0.021,0.07,0.073,0.068,0.064,0.052,0.056,0.053
SUBANG,0,0.001,0,-,0,0,-,0,0.015,0.026,0.027,0.028,0.047,0.035,0.038,0.024,1.915,1.844,1.881,1.818,1.775,1.808,1.769,1.656,0.003,0.011,0.017,0.005,0.004,0.005,0.013,0.008,0.048,0.047,0.055,0.083,0.077,0.056,0.054
PURWAKARTA,0,0,0.001,0,0.001,0.001,0,0,0.044,0.042,0.045,0.046,0.053,0.059,0.04,0.036,1.746,1.639,1.664,1.622,1.742,1.781,1.686,1.613,0.009,0.02,0.031,0.013,0.006,0.02,0.048,0.034,0.038,0.043,0.035,0.039,0.049,0.054,0.035
KARAWANG,0,0.001,0.001,0.001,0,0,0,0.001,0.022,0.026,0.031,0.03,0.038,0.044,0.033,0.036,1.81,1.689,1.648,1.74,1.82,1.807,1.633,1.61,0.008,0.007,0.015,0.005,0.004,0.018,0.008,0.013,0.065,0.085,0.091,0.073,0.082,0.084,0.08
BEKASI,0.001,0.001,0.001,0.002,0,0,0.001,0.001,0.044,0.069,0.041,0.059,0.07,0.055,0.044,0.057,1.406,1.368,1.386,1.538,1.557,1.486,1.451,1.496,0.008,0.013,0.018,0.009,0.018,0.014,0.011,0.022,0.088,0.079,0.049,0.058,0.068,0.058,0.062
BANDUNG BARAT,0,0,0,0,0,0,0,0.003,0.072,0.076,0.066,0.08,0.099,0.084,0.072,0.072,1.636,1.538,1.457,1.637,1.632,1.572,1.503,1.524,0.02,0.045,0.089,0.018,0.019,0.024,0.114,0.05,0.04,0.044,0.041,0.043,0.052,0.037,0.034
PANGANDARAN,0.002,0.006,0.002,0,0.002,0.002,0,0.002,0.05,0.06,0.047,0.045,0.071,0.077,0.062,0.06,1.847,1.861,1.753,1.857,1.874,1.921,1.85,1.866,0.011,0.027,0.042,0.024,0.02,0.016,0.029,0.035,0.082,0.069,0.069,0.063,0.062,0.072,0.07
KOTA BOGOR,0,0,0.002,0,-,0.001,0,0,0.074,0.073,0.075,0.081,0.078,0.064,0.055,0.076,1.484,1.418,1.445,1.502,1.523,1.406,1.352,1.386,0.02,0.028,0.034,0.032,0.02,0.026,0.043,0.036,0.056,0.059,0.057,0.052,0.061,0.06,0.079
KOTA SUKABUMI,0.001,0,0,0.003,-,0,-,-,0.04,0.058,0.07,0.065,0.066,0.045,0.061,0.058,1.586,1.511,1.45,1.465,1.546,1.496,1.452,1.514,0.014,0.027,0.067,0.019,0.023,0.026,0.053,0.045,0.055,0.049,0.09,0.068,0.067,0.054,0.044
KOTA BANDUNG,0.001,0.001,0.001,0.001,0,0,0,0,0.082,0.1,0.085,0.091,0.104,0.085,0.076,0.089,1.21,1.245,1.266,1.263,1.246,1.302,1.209,1.24,0.01,0.017,0.027,0.01,0.013,0.016,0.018,0.015,0.053,0.048,0.045,0.057,0.051,0.045,0.046
KOTA CIREBON,-,0,0,0,0,-,0,0,0.05,0.062,0.051,0.06,0.073,0.062,0.056,0.045,1.262,1.143,1.18,1.257,1.269,1.311,1.228,1.24,0.01,0.021,0.028,0.012,0.011,0.011,0.014,0.02,0.031,0.036,0.032,0.047,0.043,0.044,0.032
KOTA BEKASI,0.002,0.001,0.003,0.001,0.003,0,0.001,0,0.089,0.106,0.098,0.096,0.114,0.092,0.075,0.074,1.288,1.319,1.303,1.316,1.272,1.321,1.327,1.227,0.019,0.022,0.027,0.024,0.025,0.024,0.038,0.025,0.068,0.064,0.067,0.075,0.092,0.078,0.075
KOTA DEPOK,0,0,0,0,0.001,0.001,0,0.001,0.086,0.092,0.085,0.095,0.105,0.106,0.098,0.096,1.348,1.211,1.277,1.31,1.342,1.309,1.284,1.282,0.033,0.033,0.037,0.037,0.036,0.028,0.044,0.038,0.059,0.058,0.06,0.062,0.062,0.061,0.059
KOTA CIMAHI,0.001,0.001,0.001,0,0,0.001,0,0,0.072,0.093,0.077,0.084,0.075,0.068,0.084,0.081,1.304,1.184,1.19,1.193,1.268,1.238,1.163,1.148,0.009,0.024,0.036,0.015,0.013,0.008,0.034,0.033,0.055,0.053,0.045,0.041,0.049,0.044,0.05
KOTA TASIKMALAYA,0,0,0.001,0.001,0.001,0.001,0.002,0,0.033,0.061,0.062,0.068,0.065,0.086,0.065,0.064,1.53,1.534,1.634,1.722,1.641,1.811,1.713,1.609,0.004,0.012,0.038,0.011,0.01,0.001,0.016,0.018,0.04,0.068,0.059,0.055,0.043,0.049,0.037
KOTA BANJAR,-,0,0.001,0,-,0,0,0.001,0.053,0.078,0.102,0.109,0.118,0.105,0.118,0.068,1.619,1.612,1.674,1.707,1.738,1.729,1.807,1.83,0.004,0.014,0.008,0.007,0.015,0.012,0.015,0.02,0.053,0.057,0.069,0.059,0.062,0.055,0.051
CILACAP,0,0.001,0,0,0,0,0.003,0.001,0.022,0.04,0.025,0.033,0.028,0.031,0.029,0.017,1.545,1.497,1.5,1.649,1.628,1.576,1.539,1.443,0.009,0.009,0.018,0.005,0.01,0.014,0.025,0.016,0.073,0.052,0.049,0.057,0.059,0.051,0.044
BANYUMAS,0.001,0.001,0.001,0.002,0.001,0.002,0.001,0.001,0.046,0.058,0.063,0.049,0.056,0.051,0.04,0.038,1.461,1.3,1.452,1.579,1.36,1.406,1.468,1.42,0.015,0.023,0.043,0.019,0.026,0.039,0.044,0.032,0.047,0.044,0.042,0.038,0.043,0.037,0.041
PURBALINGGA,0.001,0.002,0.002,0.001,0.001,0.001,0,0,0.041,0.06,0.043,0.054,0.064,0.041,0.051,0.057,1.277,1.252,1.236,1.278,1.269,1.309,1.219,1.274,0.012,0.017,0.017,0.015,0.014,0.012,0.041,0.035,0.041,0.039,0.04,0.05,0.048,0.037,0.042
BANJARNEGARA,0.001,0,0,0,0,0.001,-,0,0.062,0.084,0.073,0.098,0.061,0.07,0.058,0.051,1.231,1.205,1.223,1.244,1.226,1.294,1.274,1.183,0.012,0.017,0.016,0.016,0.015,0.009,0.007,0.014,0.074,0.074,0.115,0.113,0.092,0.068,0.074
KEBUMEN,0,0.001,0.001,0.003,0,0,0.001,0.001,0.015,0.043,0.029,0.036,0.032,0.022,0.018,0.018,1.457,1.406,1.356,1.401,1.383,1.382,1.376,1.369,0.01,0.016,0.033,0.008,0.008,0.019,0.05,0.02,0.068,0.098,0.064,0.068,0.058,0.051,0.053
PURWOREJO,-,0,0,0.001,-,-,-,-,0.016,0.029,0.028,0.032,0.038,0.029,0.027,0.034,1.322,1.281,1.311,1.294,1.269,1.322,1.366,1.321,0.011,0.022,0.019,0.009,0.012,0.014,0.022,0.023,0.055,0.066,0.07,0.073,0.059,0.069,0.067
WONOSOBO,0.002,0.001,0.001,0,0,0,0,0,0.058,0.105,0.099,0.076,0.088,0.075,0.059,0.055,1.154,1.206,1.133,1.223,1.238,1.253,1.201,1.199,0.018,0.021,0.018,0.011,0.019,0.02,0.025,0.025,0.057,0.059,0.061,0.063,0.064,0.047,0.061
MAGELANG,-,0,0.001,-,0,0,-,0,0.041,0.057,0.056,0.06,0.067,0.065,0.052,0.056,1.307,1.111,1.221,1.251,1.235,1.271,1.178,1.191,0.01,0.025,0.018,0.015,0.006,0.014,0.024,0.015,0.035,0.045,0.04,0.043,0.035,0.035,0.037
BOYOLALI,0,0,0,0,0,-,0,0,0.018,0.019,0.026,0.027,0.029,0.023,0.027,0.018,1.232,1.206,1.185,1.266,1.139,1.187,1.201,1.191,0.006,0.011,0.033,0.008,0.014,0.005,0.009,0.011,0.07,0.079,0.075,0.063,0.069,0.069,0.069
KLATEN,0,0.001,0.001,0.001,0.001,0,0.001,0.001,0.025,0.038,0.022,0.029,0.028,0.04,0.027,0.035,1.242,1.235,1.223,1.336,1.255,1.304,1.225,1.43,0.005,0.008,0.006,0.006,0.006,0.006,0.016,0.007,0.081,0.064,0.065,0.086,0.088,0.049,0.078
SUKOHARJO,0,0.001,0,0,0,0.001,0.001,0,0.031,0.04,0.034,0.046,0.039,0.035,0.039,0.033,1.301,1.227,1.161,1.252,1.28,1.213,1.257,1.265,0.005,0.006,0.016,0.014,0.012,0.011,0.019,0.011,0.061,0.066,0.068,0.073,0.058,0.056,0.065
WONOGIRI,0.001,0.001,0.002,0.001,0.002,0.002,0.001,0.001,0.034,0.045,0.036,0.053,0.063,0.043,0.043,0.044,1.404,1.318,1.364,1.42,1.474,1.409,1.455,1.511,0.015,0.007,0.07,0.01,0.006,0.011,0.052,0.033,0.102,0.118,0.114,0.08,0.083,0.059,0.076
KARANGANYAR,0,0,0.001,0.001,0,0.002,0.001,0,0.02,0.034,0.036,0.033,0.038,0.055,0.051,0.037,1.293,1.21,1.224,1.263,1.269,1.299,1.442,1.486,0.007,0.01,0.021,0.01,0.006,0.005,0.01,0.013,0.105,0.083,0.091,0.094,0.125,0.091,0.097
SRAGEN,0.001,0,0.002,0.001,0.002,0,0.001,0,0.026,0.032,0.038,0.037,0.046,0.031,0.042,0.026,1.321,1.3,1.275,1.411,1.401,1.469,1.43,1.401,0.012,0.013,0.016,0.007,0.005,0.014,0.012,0.013,0.121,0.104,0.105,0.122,0.112,0.102,0.095
GROBOGAN,0.003,0,0.002,0.001,0.001,0.002,0.001,0.001,0.007,0.011,0.017,0.009,0.015,0.015,0.018,0.013,1.481,1.502,1.468,1.472,1.503,1.512,1.435,1.43,0.023,0.027,0.027,0.016,0.026,0.022,0.021,0.035,0.117,0.129,0.12,0.129,0.152,0.117,0.12
BLORA,0,0,0,0.001,0,0,0,0,0.005,0.01,0.008,0.011,0.007,0.004,0.005,0.006,1.495,1.413,1.437,1.535,1.443,1.521,1.411,1.386,0.028,0.038,0.058,0.028,0.051,0.024,0.034,0.053,0.051,0.067,0.068,0.063,0.063,0.058,0.055
REMBANG,0.001,0,0,0.001,0,0.001,0.001,-,0.004,0.004,0.003,0.005,0.005,0.006,0.006,0.008,1.471,1.495,1.473,1.532,1.498,1.54,1.545,1.519,0.015,0.033,0.048,0.021,0.016,0.017,0.057,0.079,0.053,0.051,0.053,0.058,0.054,0.049,0.049
PATI,0.001,0.002,0,0,0,0.001,0,0,0.014,0.021,0.014,0.02,0.019,0.025,0.025,0.018,1.461,1.432,1.36,1.478,1.429,1.481,1.484,1.426,0.016,0.014,0.01,0.014,0.018,0.017,0.03,0.016,0.08,0.075,0.069,0.08,0.085,0.064,0.065
KUDUS,0,0,0.001,0,0.001,-,0,0,0.031,0.033,0.029,0.032,0.05,0.045,0.032,0.031,1.201,1.174,1.133,1.254,1.255,1.273,1.203,1.228,0.008,0.011,0.025,0.011,0.014,0.012,0.019,0.023,0.04,0.041,0.05,0.076,0.059,0.036,0.043
JEPARA,0.002,0.001,0,0,0.003,0.001,0,0.001,0.015,0.021,0.02,0.025,0.028,0.023,0.015,0.02,1.4,1.396,1.376,1.453,1.45,1.393,1.416,1.391,0.007,0.009,0.012,0.004,0.013,0.01,0.014,0.015,0.055,0.066,0.063,0.065,0.053,0.033,0.042
DEMAK,-,0.002,0.003,0.001,0.001,0,0,0.002,0.01,0.019,0.023,0.018,0.032,0.017,0.012,0.019,1.517,1.496,1.47,1.464,1.536,1.399,1.39,1.455,0.01,0.007,0.024,0.014,0.019,0.019,0.009,0.022,0.109,0.141,0.142,0.156,0.18,0.137,0.111
SEMARANG,0,0,0,-,0,0,0.001,0,0.026,0.042,0.043,0.041,0.064,0.043,0.032,0.04,1.271,1.226,1.251,1.305,1.302,1.262,1.209,1.249,0.013,0.016,0.04,0.012,0.012,0.006,0.019,0.02,0.056,0.071,0.072,0.08,0.068,0.064,0.072
TEMANGGUNG,0,0,0,0,-,-,0,0,0.043,0.051,0.054,0.061,0.076,0.07,0.058,0.054,1.299,1.265,1.264,1.33,1.281,1.358,1.248,1.293,0.002,0.012,0.01,0.002,0.004,0.011,0.009,0.005,0.045,0.063,0.051,0.045,0.05,0.054,0.055
KENDAL,-,0.001,0.001,0,0.001,0,0.001,0,0.021,0.024,0.018,0.02,0.036,0.04,0.034,0.039,1.412,1.394,1.407,1.403,1.382,1.418,1.46,1.477,0.007,0.017,0.024,0.005,0.015,0.015,0.028,0.022,0.075,0.092,0.078,0.068,0.085,0.077,0.084
BATANG,0,0,0,0,-,-,-,0,0.03,0.043,0.04,0.037,0.046,0.037,0.033,0.038,1.371,1.303,1.356,1.367,1.379,1.436,1.39,1.399,0.003,0.009,0.022,0.009,0.01,0.005,0.008,0.007,0.037,0.046,0.051,0.046,0.063,0.058,0.064
PEKALONGAN,0,0,0,0,0,0,-,0,0.012,0.015,0.019,0.017,0.016,0.016,0.016,0.02,1.396,1.261,1.252,1.343,1.322,1.399,1.352,1.286,0.015,0.008,0.017,0.007,0.004,0.004,0.008,0.01,0.034,0.041,0.04,0.036,0.037,0.036,0.032
PEMALANG,0.001,0.001,0,0,0,0,0,0.001,0.017,0.026,0.021,0.017,0.021,0.02,0.022,0.028,1.475,1.43,1.44,1.444,1.43,1.39,1.4,1.364,0.016,0.009,0.024,0.005,0.013,0.014,0.033,0.027,0.041,0.047,0.045,0.039,0.045,0.038,0.048
TEGAL,0,0.001,0.001,0.001,0,0,0.001,0,0.03,0.043,0.039,0.025,0.026,0.025,0.019,0.013,1.351,1.31,1.281,1.402,1.369,1.374,1.397,1.45,0.008,0.016,0.021,0.003,0.007,0.007,0.013,0.021,0.042,0.04,0.042,0.036,0.037,0.05,0.038
BREBES,0.002,0.001,0.001,0,0.001,0,0.001,0,0.019,0.022,0.028,0.028,0.026,0.03,0.025,0.022,1.495,1.462,1.359,1.579,1.483,1.54,1.437,1.456,0.013,0.031,0.063,0.01,0.009,0.008,0.016,0.014,0.047,0.051,0.042,0.035,0.038,0.041,0.04
KOTA MAGELANG,0.001,0,0,-,0.001,-,0,0,0.056,0.063,0.049,0.066,0.061,0.054,0.051,0.048,1.049,1.001,1.048,1.067,1.12,1.079,1.037,1.025,0.019,0.024,0.043,0.023,0.027,0.024,0.016,0.026,0.048,0.068,0.067,0.077,0.073,0.062,0.067
KOTA SURAKARTA,0.002,0,0,0.002,0.001,0,-,0,0.02,0.036,0.041,0.04,0.05,0.034,0.035,0.039,1.043,1.063,1.069,1.155,1.201,1.168,1.169,1.132,0.013,0.016,0.012,0.016,0.015,0.011,0.014,0.02,0.054,0.042,0.052,0.06,0.051,0.046,0.062
KOTA SALATIGA,-,0,0,0,0,-,-,-,0.041,0.067,0.041,0.071,0.069,0.053,0.048,0.052,1.081,1.058,1.059,1.098,1.104,1.094,1.119,1.1,0.02,0.035,0.041,0.033,0.042,0.036,0.034,0.042,0.057,0.063,0.044,0.064,0.068,0.055,0.062
KOTA SEMARANG,-,0.001,0.001,0.001,0.001,0,0.001,0,0.042,0.045,0.052,0.046,0.053,0.044,0.044,0.045,1.077,1.075,1.103,1.163,1.134,1.183,1.14,1.088,0.025,0.032,0.052,0.022,0.018,0.021,0.026,0.038,0.086,0.086,0.077,0.092,0.092,0.08,0.086
KOTA PEKALONGAN,0,0,0,0,0,0,-,-,0.021,0.023,0.022,0.029,0.019,0.014,0.018,0.019,1.167,1.165,1.242,1.254,1.289,1.256,1.207,1.229,0.01,0.006,0.01,0.006,0.017,0.007,0.01,0.011,0.032,0.054,0.029,0.039,0.045,0.027,0.036
KOTA TEGAL,0.001,0,0,0,0.003,0.002,-,0.001,0.015,0.012,0.016,0.02,0.027,0.024,0.013,0.019,1.142,1.108,1.112,1.21,1.119,1.132,1.22,1.216,0.018,0.008,0.022,0.01,0.015,0.02,0.008,0.012,0.036,0.04,0.034,0.035,0.037,0.039,0.034
KULON PROGO,0,0,0,0,0,-,-,0.001,0.03,0.049,0.047,0.052,0.053,0.04,0.029,0.033,1.362,1.262,1.31,1.339,1.303,1.343,1.304,1.244,0.014,0.025,0.025,0.019,0.02,0.02,0.02,0.023,0.072,0.071,0.075,0.061,0.063,0.056,0.072
BANTUL,0,0.001,0.001,0,0,0,0,0.001,0.034,0.042,0.044,0.051,0.057,0.051,0.044,0.036,1.149,1.118,1.075,1.184,1.222,1.163,1.155,1.167,0.014,0.014,0.034,0.021,0.014,0.017,0.024,0.028,0.061,0.058,0.073,0.077,0.064,0.083,0.063
GUNUNGKIDUL,0.006,0.004,0.002,0.006,0.002,0.004,0.002,0.003,0.025,0.033,0.026,0.025,0.027,0.017,0.017,0.025,1.525,1.467,1.477,1.548,1.491,1.554,1.452,1.449,0.01,0.026,0.172,0.009,0.004,0.003,0.052,0.03,0.076,0.097,0.105,0.081,0.072,0.073,0.082
SLEMAN,0,0,0.001,0,0.001,0,0,0,0.059,0.067,0.072,0.072,0.086,0.057,0.052,0.071,1.19,1.11,1.103,1.16,1.218,1.115,1.114,1.183,0.029,0.037,0.047,0.03,0.05,0.039,0.039,0.055,0.072,0.064,0.057,0.06,0.057,0.059,0.056
KOTA YOGYAKARTA,0.001,0.001,0,0.001,0.001,0,0.001,0.002,0.04,0.065,0.058,0.073,0.062,0.049,0.042,0.05,0.967,0.967,1.056,1.1,1.05,1.054,1.001,0.961,0.028,0.031,0.034,0.03,0.029,0.032,0.024,0.029,0.051,0.08,0.06,0.069,0.068,0.066,0.06
PACITAN,0.001,0.001,0.001,0,0,0,0.026,0.002,0.016,0.025,0.043,0.03,0.047,0.037,0.037,0.027,1.446,1.571,1.414,1.549,1.505,1.543,1.513,1.494,0.016,0.012,0.038,0.013,0.009,0.015,0.05,0.029,0.091,0.134,0.115,0.092,0.092,0.07,0.095
PONOROGO,0.002,0.002,0.001,0.003,0.002,0.003,0.001,0.001,0.041,0.059,0.046,0.073,0.055,0.072,0.036,0.046,1.492,1.423,1.437,1.435,1.426,1.39,1.456,1.385,0.014,0.021,0.053,0.024,0.017,0.035,0.033,0.052,0.087,0.102,0.09,0.069,0.132,0.071,0.077
TRENGGALEK,0.001,0.002,0.001,0,0,0.001,0,0.001,0.024,0.036,0.035,0.036,0.034,0.033,0.022,0.025,1.409,1.477,1.438,1.521,1.511,1.561,1.496,1.42,0.014,0.052,0.053,0.015,0.014,0.024,0.025,0.028,0.065,0.094,0.076,0.091,0.13,0.066,0.074
TULUNGAGUNG,0,0.002,0.001,0,0.002,0,0.001,0,0.025,0.048,0.049,0.057,0.073,0.046,0.046,0.043,1.356,1.355,1.383,1.427,1.393,1.407,1.388,1.414,0.01,0.038,0.03,0.022,0.024,0.028,0.021,0.032,0.069,0.085,0.078,0.078,0.11,0.077,0.088
BLITAR,0,0.001,0.001,0.001,0,0.001,0,0.001,0.025,0.045,0.03,0.038,0.034,0.033,0.031,0.035,1.201,1.191,1.147,1.281,1.275,1.25,1.303,1.297,0.022,0.03,0.042,0.027,0.032,0.036,0.035,0.037,0.061,0.098,0.078,0.061,0.06,0.068,0.075
KEDIRI,0.001,0,0.001,0.001,0,0,0.001,0.001,0.036,0.044,0.047,0.056,0.077,0.062,0.055,0.046,1.404,1.368,1.296,1.448,1.429,1.456,1.406,1.39,0.045,0.056,0.069,0.041,0.047,0.048,0.047,0.053,0.098,0.092,0.094,0.1,0.079,0.082,0.084
MALANG,0.001,0,0,0,0.001,0,0,0,0.046,0.068,0.049,0.06,0.062,0.068,0.045,0.041,1.322,1.313,1.335,1.382,1.389,1.377,1.294,1.291,0.043,0.051,0.056,0.036,0.045,0.064,0.053,0.052,0.064,0.068,0.068,0.078,0.069,0.074,0.068
LUMAJANG,0.002,0.002,0.001,0.001,0.002,0.005,0.004,0.002,0.033,0.04,0.045,0.055,0.063,0.079,0.065,0.054,1.679,1.615,1.606,1.66,1.656,1.693,1.688,1.65,0.054,0.057,0.064,0.069,0.117,0.107,0.082,0.069,0.07,0.073,0.07,0.082,0.097,0.089,0.08
JEMBER,0.002,0.001,0.001,0.002,0.001,0.002,0.001,0.004,0.025,0.031,0.046,0.04,0.044,0.044,0.031,0.029,1.694,1.645,1.593,1.633,1.668,1.66,1.602,1.555,0.044,0.075,0.125,0.078,0.092,0.132,0.123,0.115,0.083,0.068,0.081,0.076,0.082,0.062,0.077
BANYUWANGI,0,0,0,0.001,0,0.001,0.002,0.001,0.011,0.019,0.016,0.014,0.018,0.026,0.032,0.022,1.64,1.491,1.513,1.574,1.57,1.653,1.519,1.545,0.094,0.103,0.155,0.101,0.079,0.125,0.138,0.152,0.054,0.06,0.06,0.055,0.071,0.079,0.093
BONDOWOSO,0.001,0.001,0,0.003,0,0,-,0.001,0.03,0.046,0.034,0.034,0.033,0.038,0.025,0.028,1.625,1.64,1.505,1.553,1.559,1.54,1.591,1.577,0.059,0.121,0.15,0.107,0.095,0.105,0.103,0.141,0.032,0.057,0.067,0.047,0.055,0.049,0.052
SITUBONDO,0,0,0,-,0,0.001,0.001,0,0.021,0.026,0.014,0.019,0.025,0.016,0.017,0.014,1.657,1.589,1.592,1.606,1.673,1.646,1.559,1.561,0.065,0.089,0.09,0.085,0.069,0.079,0.073,0.089,0.078,0.083,0.062,0.055,0.072,0.068,0.071
